# k1 k2
-0.0355561 0.0629269
-0.827812 0.0109396
-0.0280598 0.0621367
-0.83082 0.00580009
-0.0243009 0.0511623
-0.82957 -0.00115451
-0.0117747 0.0404232
-0.826431 -0.00189808
-0.00707867 0.0210001
-0.878297 -0.00103139
-0.00744286 0.00403144
-0.878196 0.0228213
0.00415961 -0.0275189
-0.873552 0.0299972
0.00102074 -0.0559581
-0.87141 0.0179114
0.00393614 -0.0511597
-0.873631 0.00229695
0.00365485 -0.0282323
-0.879035 0.00207877
0.00933044 -0.00274991
-0.884513 0.0124335
-0.000774149 0.0286308
-0.893341 0.014141
-0.00395342 0.0372601
-0.897433 0.00412303
0.0321373 -0.00874747
-0.905316 -0.0134891
0.0209579 -0.012582
-0.910033 -0.014014
0.0198768 -0.014184
-0.912465 -0.00198293
0.0106219 -0.0192835
-0.913965 0.00348041
-0.0208924 0.0267611
-0.908515 0.000658091
-0.0279142 0.0355647
-0.906207 -0.00438204
-0.0317138 0.0569501
-0.90189 0.00672689
-0.0322424 0.0716558
-0.906001 0.0195443
-0.0461054 0.0618307
-0.902614 0.0545209
-0.0447869 -0.0101204
-0.522745 -0.00809459
-0.0483235 -0.0366521
-0.534571 0.00982832
-0.0716065 -0.041903
-0.52447 -0.00126981
-0.0355437 -0.106564
-0.528789 -0.00578921
-0.0256553 -0.12474
-0.532737 -0.00914471
-0.0139523 -0.116525
-0.528735 -0.0126289
-0.099504 -0.00315545
-0.52168 -0.0208419
-0.0762702 0.00830699
-0.51896 -0.0243015
-0.0698283 0.0115259
-0.521934 -0.0232341
-0.0570788 0.011449
-0.528745 -0.0225986
-0.0544585 0.00214208
-0.522923 -0.0106645
-0.0543065 -0.00553551
-0.515332 0.00293211
-0.0532626 -0.000387187
-0.508852 0.00805403
-0.0610911 0.00494372
-0.514839 0.00132873
-0.0602739 0.0173682
-0.510577 0.00172654
-0.0621131 0.0220243
-0.502608 0.00317885
-0.0573801 0.0354406
-0.487723 0.0080662
-0.0507186 0.049958
-0.483315 0.00201825
-0.044047 0.0569241
-0.491522 -0.0150215
-0.0283683 0.0618681
-0.498473 -0.0215005
-0.0194093 0.0525256
-0.496607 -0.0198779
-0.0037017 0.0428061
-0.492855 -0.0132196
0.00187943 0.0194442
-0.486713 0.0066363
0.00640373 -0.00727764
-0.49369 0.0130813
0.00947369 -0.0350571
-0.500431 0.00842919
0.00805521 -0.0603542
-0.495592 0.00616823
0.0148768 -0.0472823
-0.490595 0.00155073
0.020785 -0.0183863
-0.488943 0.00210759
0.0370579 0.00453884
-0.496847 0.00360118
0.053693 0.00940419
-0.509103 0.00115777
0.0550404 0.00494332
-0.51211 -0.00165717
0.0490325 -0.00269421
-0.516223 -0.0134052
0.0357976 -0.00863814
-0.523796 -0.0207263
0.0352062 -0.0073645
-0.536541 -0.0206853
0.0259662 -0.00692012
-0.548894 -0.0216391
0.041545 -0.00334197
-0.546966 -0.0165661
-0.00900976 0.0478923
-0.540277 -0.00784298
-0.0139613 0.065179
-0.534464 0.00485871
-0.016238 0.0712125
-0.537641 0.0043566
-0.0319047 0.0488854
-0.568457 0.022098
-0.055041 -0.0290462
-0.277157 0.00928101
-0.0786916 -0.0571768
-0.285833 0.0204472
-0.111299 -0.0567495
-0.28743 0.00522962
-0.0581009 -0.13677
-0.294104 -0.00603203
-0.0487619 -0.142395
-0.294955 -0.00657599
-0.121473 -0.0311332
-0.288602 -0.00109651
-0.0959272 -0.0109374
-0.28286 -0.0040367
-0.0680346 0.00799127
-0.281723 -0.00889192
-0.0577094 0.0153446
-0.280297 -0.00964467
-0.0450953 0.0173837
-0.280537 -0.00831949
-0.040856 0.0102324
-0.269402 0.00756435
-0.0395422 0.00383894
-0.262081 0.0212641
-0.0368599 0.00808909
-0.255329 0.0242385
-0.0436321 0.0117313
-0.256997 0.0164977
-0.0451685 0.0190539
-0.247692 0.0186212
-0.0493225 0.0203236
-0.242046 0.020065
-0.0484893 0.0316565
-0.23513 0.0220944
-0.0446329 0.045532
-0.23917 0.0107008
-0.0403966 0.0541544
-0.248935 -0.00927566
-0.0258394 0.0636437
-0.252361 -0.010529
-0.0193733 0.0542506
-0.24822 -0.00203244
-0.00688963 0.0429085
-0.247934 0.00447413
-0.00237458 0.0161232
-0.244259 0.0193716
0.00242367 -0.0130696
-0.250385 0.0190415
0.00633081 -0.0382338
-0.251717 0.0140931
0.00724142 -0.0543098
-0.244017 0.0169256
0.0193559 -0.0334719
-0.241416 0.0150707
0.0352748 -0.00664279
-0.241698 0.014729
0.0614311 0.00829114
-0.24773 0.0139615
0.0739964 0.0114255
-0.255318 0.0136448
0.0673948 0.00534827
-0.257421 0.0162835
0.0602534 -0.0030329
-0.263796 0.00620431
0.0462908 -0.00933668
-0.273725 -0.00672402
0.0463038 -0.00318231
-0.282638 -0.0121095
0.0383513 0.00335233
-0.288568 -0.0131477
0.0517275 0.0103541
-0.284183 -0.00360687
0.00617947 0.0541298
-0.280055 0.0102764
0.00140631 0.0646993
