# k1 k2
-0.050687 0.00749055 
0.285454 -0.0104219 
-0.0277984 0.0143405 
0.00282766 0.341242 
0.0258182 0.0837739 
0.186845 0.00569364 
0.0400999 0.106593 
0.186437 0.00405861 
0.060502 0.128129 
0.198969 0.00999687 
0.0694171 0.13881 
0.203784 0.0206141 
0.130775 0.0629408 
0.20464 0.0186738 
0.0444542 0.105593 
0.0125221 0.202735 
0.0190856 0.0759569 
0.015155 0.199508 
-0.00441295 0.0525547 
0.0182533 0.195306 
-0.0162007 0.0372557 
0.016535 0.189838 
-0.0204467 0.0272173 
0.0123469 0.183969 
-0.0169963 0.0197238 
0.178236 -0.00022442 
-0.0134413 0.011608 
0.172925 -0.0112872 
-0.0160819 0.00749381 
0.167122 -0.0147003 
-0.0218243 0.00899721 
0.161215 -0.0124973 
-0.0233312 0.0121727 
0.156472 -0.0124554 
-0.0237258 0.014687 
0.154851 -0.00957875 
-0.0345231 0.0162693 
0.156287 -0.00613238 
-0.0495876 0.0167253 
0.00275215 0.160341 
-0.0632286 0.0151744 
0.0158868 0.164171 
-0.0708613 0.0123386 
0.011803 0.165912 
-0.0610773 0.010563 
0.166543 0.00383837 
-0.0385237 0.00909808 
0.166677 0.000842992 
-0.00656394 0.00788376 
0.165258 -0.00856321 
0.0230181 0.00502217 
0.16315 -0.00875889 
0.042935 0.00227981 
0.160191 -0.00367126 
0.0460162 -0.00449509 
0.156955 -0.00257707 
0.0254227 -0.0202562 
-0.000526791 0.155294 
0.00815163 -0.0466846 
-0.000555791 0.15569 
-0.000461038 -0.0666622 
-0.00272579 0.157855 
-0.0015865 -0.0655218 
-0.00668403 0.16193 
0.0047805 -0.0511705 
-0.00917188 0.167044 
0.0127579 -0.0414501 
-0.000653549 0.172331 
0.0138182 -0.0374238 
0.0115026 0.176486 
0.0030382 -0.0368048 
0.0172751 0.177812 
-0.0105466 -0.0381311 
0.0180921 0.1768 
-0.0171472 -0.042291 
0.0118664 0.174982 
-0.0422616 -0.0149567 
-0.00120415 0.173245 
-0.0431272 -0.00614916 
-0.0164328 0.172317 
-0.0314734 0.0125847 
0.165647 -0.0135992 
0.0346758 -0.016025 
-0.00467132 0.16582 
0.0209637 0.107621 
0.34709 0.0124996 
0.0311191 0.116687 
0.307017 0.00748463 
0.0517023 0.121238 
0.316279 0.0130704 
0.117845 0.0640679 
0.322167 0.0245503 
0.101814 0.0595747 
0.0221169 0.32559 
0.0732435 0.0451682 
0.0142271 0.327921 
0.0255183 0.0422599 
0.0146164 0.327938 
0.0017015 0.0243352 
0.324038 0.0171451 
-0.0121984 0.0140333 
0.317561 0.0147623 
-0.0191271 0.00593418 
0.313268 0.00992713 
-0.019583 -0.00368457 
0.312245 -0.0024103 
-0.0186621 -0.0146964 
0.311542 -0.0126391 
-0.0276096 -0.0166331 
0.307242 -0.0155657 
-0.0151666 -0.0344856 
0.300755 -0.0137982 
-0.0127232 -0.0331735 
0.297468 -0.0119426 
-0.0137189 -0.030819 
0.299782 -0.00558639 
-0.0378963 -0.0177243 
0.000147046 0.304325 
-0.0550843 -0.0167763 
0.00636891 0.307321 
-0.0709591 -0.0142734 
0.0155052 0.307919 
-0.0753896 -0.0113299 
0.00732915 0.308362 
-0.0594509 -0.00642807 
0.310345 -0.00382488 
-0.0299625 -0.00117618 
0.312052 -0.00386605 
0.00774988 -0.0012748 
0.309719 -0.00838481 
0.0282529 0.00328311 
0.304989 -0.00674583 
0.0385326 0.00332377 
0.301943 -0.000116229 
0.0357862 -0.00374995 
0.301581 0.0029652 
0.0235204 -0.0251111 
0.00515675 0.30155 
-0.0497885 0.0174376 
0.00504638 0.299595 
-0.0575924 0.0144784 
0.00322645 0.29696 
0.0146317 -0.0421728 
-0.00421479 0.297306 
0.0181873 -0.0229982 
-0.0106667 0.300334 
0.0211492 -0.0189471 
-0.0055849 0.302172 
0.0157283 -0.0244534 
0.00528699 0.300406 
0.000437421 -0.0325692 
0.0136099 0.295745 
-0.0144285 -0.0380127 
0.0168551 0.291866 
-0.0230875 -0.03563 
0.0120715 0.290829 
-0.0279164 -0.0199076 
-0.000711344 0.290201 
-0.0350329 0.00458892 
0.287499 -0.017459 
-0.0298945 0.037494 
0.270284 -0.0127081 
0.0647081 -0.0209774 
-0.00503722 0.217658 
0.00853049 0.101165 
0.59779 0.0176216 
0.0135637 0.0929632 
0.548664 0.00841741 
0.0875289 0.0287991 
0.0113647 0.555944 
0.0897166 0.0327482 
0.0261006 0.559262 
0.0847839 0.0229088 
0.0244042 0.564178 
0.0645116 0.012441 
0.0134307 0.570826 
0.0335772 0.00493462 
0.00980562 0.574674 
0.00688351 -0.000281832 
0.573513 0.0134611 
-0.00845423 -0.00415489 
0.570217 0.0154349 
-0.0173576 -0.0113217 
0.570906 0.010984 
-0.0258444 -0.017623 
0.575536 -0.00448503 
-0.0171569 -0.0385176 
0.577895 -0.0179786 
-0.018394 -0.0498598 
0.573698 -0.0184815 
-0.0173046 -0.0557758 
0.566203 -0.0111734 
-0.0135586 -0.0557356 
0.564012 -0.00568987 
-0.0174006 -0.0552119 
0.000219133 0.56845 
-0.0327083 -0.055546 
0.00421058 0.572574 
-0.0641704 -0.0432035 
0.00803866 0.571774 
-0.0769099 -0.0403815 
0.0153085 0.568818 
-0.0739474 -0.0344284 
0.00442848 0.569386 
-0.050967 -0.025438 
-0.0124172 0.573803 
-0.0130829 -0.0186808 
0.577653 -0.012954 
0.0163897 -0.00795371 
0.576629 -0.0101149 
0.0298982 -0.000523738 
0.573152 -0.00216074 
0.0298393 0.00492578 
0.573964 0.00644832 
0.0263771 -0.00146023 
0.00849059 0.579637 
-0.0267798 0.0262804 
0.0086142 0.583299 
-0.045586 0.0288475 
0.00970783 0.580709 
-0.0440486 0.0305683 
0.0123469 0.575268 
-0.023302 0.0319464 
0.00196028 0.572641 
0.033229 -0.00814161 
-0.012523 0.572311 
0.0306508 -0.0112521 
-0.013746 0.56856 
0.0212524 -0.0237236 
-0.00409424 0.559766 
0.00513822 -0.0350082 
0.549696 0.0104971 
-0.0107978 -0.0375637 
0.543576 0.0184616 
-0.0161499 -0.0315989 
0.012346 0.542366 
0.00388542 -0.0349738 
0.541006 -0.00266271 
-0.043438 0.0313982 
0.535969 -0.0188314 
-0.0401127 0.0616533 
0.511705 -0.0091417 
0.077279 -0.0332811 
0.000866278 0.437177 
0.0691465 -0.0111177 
0.826425 0.00993042 
0.0561233 -0.0125379 
0.828071 0.00459593 
0.0569532 -0.00724983 
0.00363278 0.844363 
0.0741028 -0.00976096 
0.0270912 0.849614 
0.0791725 -0.0155775 
0.0294657 0.852982 
0.0648414 -0.01848 
0.0110482 0.857645 
0.0358519 -0.0191129 
5.03618e-05 0.862788 
0.00940275 -0.0190635 
0.865715 0.00549223 
-0.00721713 -0.0212012 
0.865686 0.0187592 
-0.0172858 -0.0309655 
0.018109 0.864749 
-0.0177969 -0.0473803 
-0.0061123 0.86653 
-0.0143623 -0.0598589 
-0.028469 0.870611 
-0.014018 -0.0684575 
0.874162 -0.0264177 
-0.0110929 -0.0707081 
0.874816 -0.00489862 
-0.0076064 -0.0708248 
0.874863 0.00774977 
-0.0154753 -0.0732412 
0.00613578 0.878375 
-0.0349708 -0.075954 
0.00359819 0.881393 
-0.0562707 -0.0783219 
0.00523871 0.878715 
-0.0622368 -0.0791732 
0.0178022 0.871783 
-0.0661808 -0.0583776 
0.0081228 0.864687 
-0.0369342 -0.0497115 
-0.0193713 0.863578 
-0.000829403 -0.0374625 
-0.0265938 0.869309 
0.0256148 -0.0256818 
0.876481 -0.0162139 
0.0290933 -0.0139729 
0.881008 0.00490522 
0.0190704 -0.00131794 
0.0179974 0.884348 
-0.00421523 0.0148527 
